fast,slow,rsi_period,rsi_threshold,risk_per_trade,atr_period,atr_multiplier,Periodo,Capital Final,Ganancia Neta (%),Drawdown Máximo (%),Total de Operaciones,Tasa de Acierto (%),Factor de Beneficio
15,50,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,17037.79,70.38,16.83,254,36.22,1.34
15,50,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,17037.79,70.38,16.83,254,36.22,1.34
20,60,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,14875.93,48.76,10.79,206,35.92,1.31
20,60,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,14875.93,48.76,10.79,206,35.92,1.31
15,50,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,15130.72,51.31,14.54,227,37.44,1.29
20,50,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,15428.87,54.29,14.46,231,37.66,1.29
20,50,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,15428.87,54.29,14.46,231,37.66,1.29
20,40,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,14916.84,49.17,15.35,228,39.04,1.28
20,50,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,14701.00,47.01,15.23,209,38.28,1.28
20,60,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,13939.98,39.40,15.77,206,37.86,1.25
20,60,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,13939.98,39.40,15.77,206,37.86,1.25
20,40,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,14918.86,49.19,14.45,264,36.36,1.25
20,40,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,14918.86,49.19,14.45,264,36.36,1.25
15,60,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13846.76,38.47,14.17,235,34.04,1.22
15,60,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13846.76,38.47,14.17,235,34.04,1.22
20,60,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,12781.22,27.81,14.41,181,37.02,1.20
20,60,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,12179.94,21.80,13.72,181,35.36,1.16
20,40,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,12251.92,22.52,15.23,189,38.62,1.16
15,50,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,11869.81,18.70,14.25,179,36.31,1.14
20,50,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,12506.98,25.07,20.66,231,37.23,1.14
20,50,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,12506.98,25.07,20.66,231,37.23,1.14
15,60,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,11763.11,17.63,14.67,210,33.33,1.12
10,40,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13086.47,30.86,19.20,369,31.98,1.12
10,40,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13070.06,30.70,19.20,370,31.89,1.12
20,50,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,11924.80,19.25,21.36,209,37.32,1.12
10,60,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,12395.08,23.95,23.77,297,32.66,1.11
10,60,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,12318.64,23.19,23.77,298,32.55,1.11
15,40,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,11767.45,17.67,24.20,299,33.44,1.09
15,40,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,11767.45,17.67,24.20,299,33.44,1.09
15,60,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,11494.92,14.95,21.39,235,35.32,1.08
15,60,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,11494.92,14.95,21.39,235,35.32,1.08
20,40,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,11317.23,13.17,20.87,228,38.60,1.08
10,60,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,11334.47,13.34,23.87,244,34.43,1.08
10,40,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,10945.16,9.45,25.82,182,34.07,1.07
10,50,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,11361.93,13.62,25.12,336,31.85,1.06
15,50,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,11032.22,10.32,24.99,254,37.40,1.06
15,50,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,11032.22,10.32,24.99,254,37.40,1.06
15,50,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10827.50,8.27,21.68,227,38.77,1.05
10,50,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,11049.19,10.49,25.12,335,31.64,1.05
10,40,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,10944.49,9.44,27.42,286,34.27,1.05
15,60,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,10466.53,4.67,17.25,178,32.02,1.04
15,40,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,10364.70,3.65,27.67,180,35.56,1.03
10,50,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,10443.76,4.44,27.49,269,34.57,1.02
20,40,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10213.88,2.14,25.00,264,35.98,1.01
20,40,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10213.88,2.14,25.00,264,35.98,1.01
15,40,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,10062.78,0.63,26.23,255,34.51,1.00
10,60,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,9843.70,-1.56,27.22,244,36.48,0.99
20,50,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,9876.96,-1.23,16.12,172,34.88,0.99
20,40,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,9729.59,-2.70,24.18,189,38.10,0.98
10,60,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,9489.51,-5.10,31.26,297,34.01,0.98
10,60,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,9396.87,-6.03,31.26,298,33.89,0.97
10,40,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,9259.03,-7.41,25.56,369,34.69,0.97
15,60,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,9519.50,-4.81,21.97,210,34.29,0.97
10,40,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,9245.49,-7.55,25.67,370,34.59,0.97
20,60,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,9550.55,-4.49,22.42,154,33.77,0.96
20,60,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,9524.38,-4.76,24.04,154,36.36,0.96
10,60,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,9365.68,-6.34,22.66,187,34.76,0.95
10,40,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,8943.69,-10.56,27.92,286,37.41,0.95
15,50,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,9297.05,-7.03,25.93,179,37.43,0.94
10,50,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,9066.63,-9.33,24.72,188,35.11,0.93
15,40,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,8520.91,-14.79,26.10,299,34.78,0.92
15,40,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,8520.91,-14.79,26.10,299,34.78,0.92
10,50,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,8115.32,-18.85,34.39,336,31.85,0.91
10,40,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,8775.29,-12.25,28.02,182,37.36,0.90
20,60,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,8714.34,-12.86,23.83,206,38.83,0.89
20,60,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,8714.34,-12.86,23.83,206,38.83,0.89
20,50,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,8637.23,-13.63,28.51,172,34.30,0.89
10,60,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,8631.38,-13.69,27.93,187,36.90,0.89
10,50,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,7831.34,-21.69,36.68,335,31.64,0.89
20,40,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,8341.94,-16.58,24.43,228,38.60,0.88
15,40,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,8216.10,-17.84,31.07,180,38.33,0.87
15,40,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,7789.77,-22.10,31.40,255,36.08,0.86
10,50,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,7636.09,-23.64,33.71,269,34.94,0.86
20,40,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,8140.33,-18.60,28.93,189,38.10,0.85
10,40,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,6987.74,-30.12,38.83,369,36.86,0.85
10,40,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,6975.48,-30.25,38.94,370,36.76,0.85
10,40,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,7229.25,-27.71,35.36,286,38.46,0.84
20,50,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,7739.98,-22.60,32.84,231,35.50,0.83
20,50,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,7739.98,-22.60,32.84,231,35.50,0.83
15,50,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,7755.74,-22.44,35.04,227,38.77,0.83
10,50,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,7805.19,-21.95,33.06,188,36.17,0.83
15,60,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,7821.78,-21.78,32.24,178,32.02,0.83
15,50,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,7445.85,-25.54,38.59,254,37.40,0.83
15,50,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,7445.85,-25.54,38.59,254,37.40,0.83
20,60,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,8000.70,-19.99,25.37,181,38.12,0.82
15,60,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,7393.79,-26.06,36.15,235,36.17,0.81
15,60,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,7393.79,-26.06,36.15,235,36.17,0.81
15,50,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,7916.35,-20.84,30.66,179,37.99,0.81
10,40,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,7738.10,-22.62,28.27,182,36.81,0.80
20,40,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,7087.29,-29.13,36.78,264,35.98,0.80
20,40,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,7087.29,-29.13,36.78,264,35.98,0.80
10,60,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,6368.86,-36.31,48.07,297,35.35,0.79
10,60,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,6319.92,-36.80,48.07,298,35.23,0.78
20,50,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,7139.68,-28.60,33.75,209,35.41,0.77
10,50,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,7102.10,-28.98,34.68,188,39.36,0.75
15,40,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,6990.96,-30.09,33.76,180,38.33,0.75
10,50,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,6169.62,-38.30,43.20,269,36.80,0.74
10,50,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,5461.94,-45.38,51.50,335,33.13,0.74
20,60,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,7390.73,-26.09,30.70,154,35.06,0.74
10,50,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,5428.60,-45.71,51.80,336,33.04,0.73
10,60,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,6233.60,-37.66,42.14,244,37.30,0.72
20,50,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,6905.76,-30.94,36.11,172,33.14,0.72
15,60,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,6627.52,-33.72,38.37,210,35.24,0.72
15,40,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,5735.61,-42.64,48.95,299,37.46,0.71
15,40,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,5735.61,-42.64,48.95,299,37.46,0.71
10,60,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,6825.10,-31.75,37.00,187,37.43,0.71
15,40,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,5901.33,-40.99,45.63,255,38.43,0.70
15,60,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,5848.83,-41.51,44.58,178,32.58,0.60
